type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount
Vegetables,54,Wedding,196,Room Temperature,Occasional,Winter,Finger Food,Giza,High,18
Fruits,374,Wedding,327,Room Temperature,Regular,Autumn,Plated,Giza,High,45
Vegetables,61,Festival,95,Room Temperature,Occasional,Spring,Finger Food,Upper Egypt,High,82
Meat,341,Birthday,227,Frozen,Occasional,Autumn,Plated,Mansoura,Moderate,45
Fruits,107,Birthday,386,Frozen,Occasional,Winter,Finger Food,Cairo,Moderate,39
Vegetables,60,Festival,172,Refrigerated,Occasional,Summer,Plated,Cairo,Low,44
Vegetables,352,Corporate,569,Room Temperature,Regular,Autumn,Finger Food,Mansoura,High,100
Fruits,312,Birthday,289,Refrigerated,Occasional,Summer,Finger Food,Mansoura,Low,37
Meat,169,Corporate,62,Frozen,Regular,Summer,Buffet,Delta,High,58
Meat,145,Birthday,455,Refrigerated,Occasional,Summer,Buffet,Cairo,Moderate,13
Vegetables,491,Birthday,137,Frozen,Regular,Summer,Finger Food,Mansoura,Low,5
Fruits,438,Wedding,117,Refrigerated,Regular,Spring,Plated,Delta,High,39
Meat,339,Birthday,213,Room Temperature,Occasional,Winter,Plated,Upper Egypt,Low,12
Bakery,297,Wedding,151,Frozen,Regular,Winter,Finger Food,Delta,Moderate,8
Bakery,423,Festival,204,Frozen,Occasional,Summer,Plated,Mansoura,Low,28
Vegetables,241,Corporate,557,Room Temperature,Regular,Winter,Finger Food,Cairo,Moderate,93
Vegetables,138,Festival,152,Refrigerated,Regular,All Seasons,Buffet,Alexandria,Moderate,72
Dairy,100,Festival,270,Refrigerated,Occasional,All Seasons,Buffet,Delta,Moderate,62
Vegetables,78,Birthday,85,Refrigerated,Occasional,Winter,Finger Food,Mansoura,High,22
Meat,342,Wedding,251,Room Temperature,Regular,All Seasons,Finger Food,Mansoura,Moderate,82
Fruits,65,Corporate,148,Room Temperature,Regular,Winter,Finger Food,Delta,Low,8
Dairy,160,Festival,141,Refrigerated,Regular,Spring,Buffet,Giza,Low,18
Vegetables,326,Festival,92,Frozen,Occasional,All Seasons,Plated,Mansoura,Moderate,23
Vegetables,111,Corporate,309,Room Temperature,Occasional,Spring,Buffet,Mansoura,Low,77
Vegetables,330,Corporate,535,Refrigerated,Occasional,Summer,Finger Food,Giza,Moderate,11
Vegetables,472,Birthday,358,Room Temperature,Regular,Winter,Finger Food,Giza,Low,87
Dairy,57,Birthday,400,Refrigerated,Regular,Autumn,Finger Food,Cairo,Low,98
Meat,348,Wedding,362,Frozen,Occasional,Spring,Buffet,Mansoura,High,7
Vegetables,395,Birthday,480,Frozen,Occasional,Summer,Buffet,Giza,Low,65
Dairy,90,Festival,357,Frozen,Regular,Winter,Finger Food,Alexandria,High,50
Bakery,326,Wedding,164,Room Temperature,Regular,Winter,Buffet,Cairo,High,90
Meat,213,Corporate,224,Room Temperature,Occasional,Summer,Plated,Delta,High,57
Fruits,295,Festival,576,Frozen,Occasional,Winter,Buffet,Mansoura,Moderate,12
Meat,306,Wedding,369,Room Temperature,Occasional,All Seasons,Plated,Upper Egypt,Low,61
Bakery,95,Corporate,83,Room Temperature,Occasional,Autumn,Plated,Giza,Low,60
Fruits,72,Corporate,463,Frozen,Regular,Spring,Plated,Upper Egypt,High,21
Vegetables,452,Wedding,285,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,Moderate,10
Bakery,130,Corporate,279,Frozen,Occasional,Summer,Finger Food,Mansoura,Low,23
Meat,136,Corporate,220,Refrigerated,Occasional,Winter,Buffet,Alexandria,Moderate,5
Vegetables,439,Birthday,52,Refrigerated,Regular,All Seasons,Plated,Delta,Moderate,36
Fruits,430,Festival,514,Refrigerated,Regular,Autumn,Buffet,Cairo,High,71
Bakery,443,Corporate,174,Room Temperature,Regular,Spring,Buffet,Cairo,High,16
Dairy,340,Birthday,290,Refrigerated,Occasional,Winter,Finger Food,Upper Egypt,High,91
Bakery,445,Festival,95,Room Temperature,Regular,Autumn,Plated,Alexandria,Moderate,74
Meat,487,Festival,541,Room Temperature,Occasional,Winter,Buffet,Cairo,Low,81
Bakery,313,Wedding,274,Refrigerated,Occasional,All Seasons,Buffet,Upper Egypt,Low,62
Meat,99,Corporate,375,Refrigerated,Occasional,Summer,Finger Food,Delta,Low,78
Fruits,126,Corporate,243,Frozen,Occasional,All Seasons,Buffet,Alexandria,Low,46
Vegetables,192,Festival,470,Refrigerated,Occasional,Summer,Finger Food,Delta,High,81
Fruits,195,Wedding,464,Room Temperature,Occasional,Winter,Plated,Cairo,Low,12
Bakery,120,Wedding,66,Refrigerated,Regular,Autumn,Buffet,Giza,High,33
Bakery,278,Wedding,51,Refrigerated,Occasional,Winter,Buffet,Delta,Moderate,69
Meat,304,Wedding,382,Refrigerated,Occasional,Winter,Finger Food,Upper Egypt,Low,57
Fruits,131,Birthday,402,Room Temperature,Regular,All Seasons,Finger Food,Cairo,Low,84
Meat,445,Birthday,389,Refrigerated,Regular,Spring,Buffet,Upper Egypt,Low,85
Fruits,227,Corporate,343,Frozen,Occasional,All Seasons,Buffet,Cairo,Moderate,82
Vegetables,162,Corporate,320,Room Temperature,Occasional,All Seasons,Buffet,Cairo,Low,76
Vegetables,317,Birthday,519,Refrigerated,Regular,All Seasons,Plated,Upper Egypt,Low,30
Vegetables,340,Festival,120,Room Temperature,Regular,Winter,Buffet,Upper Egypt,Moderate,73
Fruits,55,Festival,489,Room Temperature,Occasional,Winter,Plated,Alexandria,Moderate,53
Meat,498,Wedding,231,Refrigerated,Occasional,Spring,Buffet,Upper Egypt,Moderate,54
Meat,104,Corporate,390,Refrigerated,Regular,Summer,Finger Food,Upper Egypt,High,85
Vegetables,424,Wedding,553,Refrigerated,Occasional,Winter,Finger Food,Delta,Moderate,15
Dairy,259,Birthday,217,Room Temperature,Regular,Winter,Finger Food,Upper Egypt,Low,55
Dairy,51,Festival,478,Frozen,Occasional,Summer,Plated,Mansoura,Low,21
Fruits,89,Festival,468,Frozen,Occasional,Autumn,Finger Food,Delta,Moderate,65
Dairy,474,Corporate,213,Frozen,Regular,Winter,Finger Food,Cairo,Low,57
Meat,462,Wedding,562,Frozen,Occasional,Summer,Buffet,Giza,Low,45
Fruits,465,Birthday,364,Refrigerated,Occasional,Spring,Plated,Mansoura,High,24
Meat,127,Corporate,394,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,25
Fruits,181,Birthday,67,Room Temperature,Occasional,Summer,Plated,Cairo,Low,17
Bakery,302,Birthday,132,Frozen,Regular,Spring,Buffet,Cairo,High,59
Vegetables,207,Birthday,395,Frozen,Occasional,Autumn,Plated,Giza,High,13
Bakery,314,Wedding,479,Frozen,Regular,Spring,Finger Food,Alexandria,Low,49
Meat,468,Corporate,94,Refrigerated,Regular,Winter,Finger Food,Alexandria,Low,89
Fruits,92,Birthday,303,Refrigerated,Regular,Spring,Buffet,Alexandria,High,100
Bakery,267,Corporate,295,Room Temperature,Regular,All Seasons,Plated,Upper Egypt,High,69
Dairy,77,Corporate,257,Refrigerated,Regular,Winter,Buffet,Delta,Moderate,75
Bakery,368,Corporate,132,Refrigerated,Occasional,All Seasons,Buffet,Giza,Moderate,65
Meat,173,Corporate,558,Frozen,Regular,Autumn,Finger Food,Upper Egypt,High,58
Meat,449,Corporate,447,Refrigerated,Occasional,Autumn,Buffet,Upper Egypt,High,38
Meat,347,Wedding,527,Frozen,Occasional,Summer,Buffet,Upper Egypt,Low,14
Vegetables,274,Wedding,278,Room Temperature,Regular,All Seasons,Buffet,Mansoura,Low,76
Bakery,396,Festival,585,Frozen,Regular,Spring,Buffet,Mansoura,High,12
Vegetables,289,Corporate,475,Refrigerated,Occasional,All Seasons,Plated,Upper Egypt,High,19
Bakery,290,Birthday,182,Refrigerated,Occasional,Summer,Finger Food,Mansoura,Low,73
Vegetables,298,Wedding,282,Refrigerated,Occasional,Spring,Plated,Cairo,Low,28
Fruits,330,Corporate,425,Room Temperature,Occasional,Autumn,Buffet,Cairo,Low,88
Fruits,392,Wedding,248,Refrigerated,Regular,Spring,Buffet,Giza,Low,55
Bakery,69,Festival,441,Frozen,Occasional,Spring,Finger Food,Mansoura,High,65
Meat,249,Festival,415,Refrigerated,Occasional,Autumn,Plated,Cairo,Low,78
Fruits,406,Birthday,141,Room Temperature,Regular,All Seasons,Finger Food,Alexandria,Low,54
Meat,52,Festival,59,Refrigerated,Regular,Summer,Buffet,Upper Egypt,High,38
Vegetables,194,Birthday,165,Frozen,Regular,Autumn,Buffet,Alexandria,High,42
Bakery,83,Birthday,74,Refrigerated,Occasional,All Seasons,Plated,Mansoura,High,14
Meat,211,Birthday,97,Refrigerated,Regular,Summer,Buffet,Mansoura,Moderate,97
Fruits,440,Festival,347,Room Temperature,Regular,Winter,Plated,Delta,Moderate,34
Fruits,331,Corporate,145,Refrigerated,Occasional,All Seasons,Buffet,Alexandria,Moderate,58
Fruits,443,Birthday,552,Frozen,Occasional,All Seasons,Finger Food,Mansoura,Low,75
Fruits,214,Corporate,190,Frozen,Regular,Spring,Finger Food,Alexandria,Low,22
Vegetables,353,Wedding,559,Frozen,Regular,Summer,Finger Food,Alexandria,Low,53
Meat,440,Festival,214,Refrigerated,Occasional,All Seasons,Buffet,Alexandria,Moderate,60
Fruits,445,Wedding,482,Room Temperature,Occasional,Winter,Buffet,Alexandria,Low,61
Meat,63,Festival,258,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,Moderate,88
Dairy,322,Birthday,542,Frozen,Regular,Winter,Buffet,Mansoura,Moderate,44
Vegetables,321,Corporate,240,Room Temperature,Occasional,All Seasons,Finger Food,Delta,Moderate,95
Dairy,393,Birthday,442,Refrigerated,Regular,Autumn,Buffet,Alexandria,Moderate,55
Bakery,256,Birthday,511,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,Moderate,37
Vegetables,55,Festival,436,Frozen,Regular,Winter,Finger Food,Cairo,High,31
Fruits,156,Festival,537,Room Temperature,Regular,Summer,Plated,Giza,Low,72
Dairy,419,Festival,103,Room Temperature,Regular,Summer,Plated,Delta,Moderate,80
Vegetables,140,Corporate,392,Room Temperature,Regular,Summer,Buffet,Alexandria,Low,92
Bakery,477,Birthday,535,Refrigerated,Occasional,All Seasons,Finger Food,Delta,Moderate,59
Fruits,447,Corporate,371,Refrigerated,Occasional,Spring,Finger Food,Cairo,High,65
Bakery,354,Festival,561,Frozen,Occasional,Summer,Finger Food,Giza,Moderate,14
Bakery,410,Corporate,297,Frozen,Occasional,Winter,Buffet,Mansoura,Low,56
Vegetables,283,Birthday,234,Refrigerated,Regular,Winter,Plated,Giza,Moderate,18
Meat,439,Corporate,525,Room Temperature,Occasional,Spring,Plated,Cairo,Moderate,18
Dairy,134,Corporate,351,Refrigerated,Occasional,All Seasons,Finger Food,Alexandria,High,56
Bakery,333,Birthday,83,Room Temperature,Regular,All Seasons,Finger Food,Delta,Low,31
Bakery,488,Birthday,241,Refrigerated,Regular,Spring,Plated,Delta,Low,17
Fruits,144,Festival,325,Room Temperature,Regular,All Seasons,Finger Food,Delta,Low,14
Dairy,287,Corporate,271,Refrigerated,Occasional,Winter,Finger Food,Cairo,Moderate,92
Meat,66,Wedding,253,Refrigerated,Regular,Spring,Finger Food,Giza,Moderate,40
Dairy,345,Birthday,165,Room Temperature,Regular,Autumn,Finger Food,Mansoura,Moderate,35
Bakery,52,Birthday,83,Frozen,Occasional,Summer,Finger Food,Cairo,Low,49
Bakery,423,Wedding,161,Frozen,Regular,Autumn,Buffet,Giza,Moderate,94
Vegetables,438,Festival,234,Frozen,Regular,Winter,Plated,Cairo,Moderate,33
Fruits,383,Corporate,355,Frozen,Occasional,All Seasons,Buffet,Mansoura,High,58
Dairy,252,Wedding,225,Room Temperature,Regular,Autumn,Plated,Alexandria,Moderate,31
Bakery,300,Wedding,432,Refrigerated,Occasional,All Seasons,Plated,Delta,Moderate,43
Meat,264,Festival,422,Room Temperature,Regular,Winter,Buffet,Delta,Low,90
Meat,339,Birthday,97,Refrigerated,Regular,All Seasons,Finger Food,Alexandria,Low,84
Meat,193,Wedding,85,Frozen,Regular,Winter,Buffet,Alexandria,Low,36
Vegetables,138,Corporate,221,Refrigerated,Occasional,All Seasons,Buffet,Giza,Moderate,88
Fruits,226,Corporate,166,Frozen,Regular,Summer,Finger Food,Alexandria,High,92
Meat,165,Festival,566,Frozen,Occasional,Winter,Plated,Giza,Low,29
Vegetables,200,Birthday,453,Refrigerated,Occasional,Winter,Buffet,Delta,Low,49
Bakery,432,Birthday,175,Refrigerated,Occasional,Summer,Buffet,Giza,High,12
Dairy,449,Wedding,452,Room Temperature,Regular,All Seasons,Buffet,Giza,Low,68
Dairy,151,Corporate,542,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,Low,13
Meat,246,Birthday,324,Frozen,Regular,Autumn,Buffet,Mansoura,Moderate,84
Meat,350,Birthday,235,Room Temperature,Occasional,All Seasons,Plated,Giza,Low,66
Fruits,168,Festival,181,Room Temperature,Occasional,Spring,Finger Food,Giza,High,70
Dairy,178,Festival,155,Refrigerated,Regular,Autumn,Finger Food,Cairo,Moderate,34
Meat,52,Birthday,595,Room Temperature,Occasional,Winter,Finger Food,Cairo,Low,26
Meat,82,Wedding,285,Room Temperature,Occasional,All Seasons,Finger Food,Cairo,Moderate,31
Vegetables,101,Corporate,356,Refrigerated,Regular,Autumn,Finger Food,Mansoura,High,64
Vegetables,183,Festival,179,Room Temperature,Occasional,Winter,Buffet,Cairo,High,74
Vegetables,412,Wedding,379,Frozen,Regular,Autumn,Buffet,Upper Egypt,Low,43
Bakery,297,Festival,92,Room Temperature,Occasional,Spring,Plated,Giza,Low,35
Vegetables,351,Festival,412,Refrigerated,Occasional,Autumn,Buffet,Giza,Moderate,64
Bakery,390,Wedding,493,Room Temperature,Regular,Autumn,Finger Food,Upper Egypt,High,50
Bakery,321,Birthday,225,Room Temperature,Occasional,Spring,Buffet,Mansoura,Low,7
Bakery,186,Festival,543,Refrigerated,Regular,Summer,Finger Food,Giza,High,45
Fruits,91,Festival,222,Frozen,Regular,Winter,Buffet,Alexandria,Low,18
Bakery,143,Wedding,465,Refrigerated,Occasional,Spring,Buffet,Delta,Moderate,29
Bakery,439,Wedding,234,Frozen,Regular,All Seasons,Buffet,Giza,Low,40
Meat,197,Birthday,61,Refrigerated,Occasional,Spring,Buffet,Upper Egypt,Moderate,10
Vegetables,259,Festival,50,Room Temperature,Occasional,All Seasons,Plated,Alexandria,Moderate,29
Vegetables,84,Festival,341,Frozen,Regular,All Seasons,Plated,Giza,High,14
Meat,427,Corporate,274,Refrigerated,Occasional,Winter,Plated,Delta,Low,22
Vegetables,202,Festival,145,Refrigerated,Regular,Spring,Buffet,Upper Egypt,Low,58
Meat,320,Birthday,522,Room Temperature,Regular,Summer,Finger Food,Alexandria,Moderate,19
Dairy,475,Corporate,535,Room Temperature,Regular,Spring,Finger Food,Giza,High,72
Fruits,55,Corporate,383,Refrigerated,Occasional,Winter,Buffet,Alexandria,Moderate,16
Dairy,472,Festival,200,Refrigerated,Regular,Winter,Buffet,Mansoura,Low,6
Bakery,182,Wedding,145,Room Temperature,Occasional,Winter,Buffet,Upper Egypt,Low,54
Fruits,191,Wedding,169,Frozen,Regular,Spring,Buffet,Mansoura,Moderate,89
Dairy,317,Wedding,538,Room Temperature,Regular,Spring,Plated,Giza,Moderate,82
Fruits,142,Corporate,334,Room Temperature,Regular,Spring,Finger Food,Alexandria,Low,70
Bakery,275,Corporate,138,Room Temperature,Regular,Winter,Finger Food,Upper Egypt,Low,10
Vegetables,196,Birthday,505,Room Temperature,Occasional,Summer,Buffet,Mansoura,Low,33
Fruits,226,Festival,393,Refrigerated,Occasional,Autumn,Finger Food,Mansoura,High,6
Vegetables,233,Wedding,598,Room Temperature,Regular,Spring,Buffet,Mansoura,High,77
Meat,193,Festival,227,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,Low,5
Bakery,223,Birthday,562,Room Temperature,Occasional,Spring,Plated,Alexandria,Low,16
Dairy,421,Wedding,290,Room Temperature,Regular,All Seasons,Plated,Giza,Moderate,73
Meat,184,Festival,101,Room Temperature,Occasional,Spring,Plated,Cairo,Moderate,33
Dairy,308,Wedding,332,Refrigerated,Occasional,All Seasons,Finger Food,Upper Egypt,Moderate,15
Bakery,435,Festival,409,Room Temperature,Occasional,Spring,Finger Food,Giza,High,54
Vegetables,256,Corporate,426,Frozen,Occasional,All Seasons,Plated,Alexandria,High,100
Bakery,342,Corporate,111,Refrigerated,Occasional,Spring,Plated,Giza,High,19
Meat,447,Wedding,392,Refrigerated,Occasional,Autumn,Finger Food,Cairo,Moderate,35
Fruits,260,Festival,84,Room Temperature,Regular,Winter,Plated,Giza,Moderate,39
Dairy,353,Birthday,266,Refrigerated,Occasional,Spring,Plated,Mansoura,High,32
Meat,468,Festival,532,Frozen,Regular,Autumn,Buffet,Giza,High,28
Dairy,260,Festival,337,Refrigerated,Regular,Autumn,Finger Food,Delta,High,69
Dairy,218,Birthday,564,Room Temperature,Regular,Spring,Finger Food,Giza,High,58
Vegetables,205,Birthday,577,Frozen,Occasional,Spring,Buffet,Upper Egypt,Moderate,86
Fruits,484,Corporate,359,Frozen,Regular,Winter,Buffet,Upper Egypt,Moderate,12
Fruits,381,Festival,129,Frozen,Occasional,Spring,Buffet,Mansoura,Moderate,31
Vegetables,479,Corporate,121,Room Temperature,Regular,Autumn,Plated,Cairo,Moderate,29
Bakery,347,Birthday,571,Frozen,Regular,Autumn,Plated,Giza,Moderate,20
Bakery,128,Festival,380,Refrigerated,Regular,Spring,Buffet,Mansoura,High,5
Bakery,266,Wedding,318,Refrigerated,Occasional,Autumn,Finger Food,Giza,Low,31
Bakery,324,Birthday,139,Frozen,Regular,Summer,Finger Food,Upper Egypt,High,81
Meat,107,Wedding,417,Frozen,Occasional,Spring,Buffet,Mansoura,High,27
Meat,365,Wedding,499,Refrigerated,Regular,Summer,Finger Food,Delta,High,25
Fruits,168,Wedding,301,Refrigerated,Regular,All Seasons,Finger Food,Upper Egypt,High,19
Dairy,291,Corporate,445,Frozen,Occasional,Summer,Plated,Giza,High,19
Fruits,380,Corporate,155,Room Temperature,Occasional,Autumn,Plated,Upper Egypt,Low,88
Bakery,97,Wedding,51,Refrigerated,Occasional,All Seasons,Buffet,Mansoura,Low,81
Vegetables,261,Wedding,93,Room Temperature,Regular,Winter,Buffet,Delta,High,74
Meat,315,Corporate,515,Refrigerated,Occasional,Winter,Plated,Giza,High,58
Bakery,139,Wedding,356,Frozen,Occasional,All Seasons,Plated,Cairo,Moderate,23
Bakery,309,Wedding,238,Frozen,Occasional,Summer,Buffet,Cairo,Moderate,74
Meat,266,Corporate,444,Refrigerated,Regular,Spring,Finger Food,Mansoura,Low,6
Bakery,66,Birthday,67,Refrigerated,Regular,Spring,Buffet,Upper Egypt,Low,58
Vegetables,394,Wedding,337,Room Temperature,Regular,Summer,Plated,Mansoura,High,88
Vegetables,378,Wedding,392,Frozen,Occasional,All Seasons,Buffet,Giza,Low,99
Fruits,464,Birthday,355,Refrigerated,Occasional,Winter,Finger Food,Delta,Low,79
Meat,129,Birthday,519,Room Temperature,Regular,All Seasons,Buffet,Delta,Moderate,77
Dairy,257,Corporate,305,Frozen,Occasional,Spring,Buffet,Giza,Moderate,36
Dairy,212,Birthday,365,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,Moderate,37
Bakery,435,Corporate,595,Room Temperature,Occasional,Summer,Plated,Cairo,Low,56
Fruits,480,Birthday,171,Room Temperature,Occasional,Spring,Buffet,Delta,Moderate,40
Dairy,260,Birthday,252,Refrigerated,Regular,Spring,Buffet,Mansoura,Moderate,64
Bakery,447,Festival,340,Frozen,Regular,Winter,Finger Food,Delta,Moderate,77
Dairy,487,Birthday,188,Frozen,Regular,Summer,Buffet,Delta,High,54
Vegetables,134,Festival,181,Refrigerated,Occasional,Spring,Finger Food,Cairo,Moderate,77
Bakery,258,Birthday,243,Room Temperature,Occasional,Autumn,Plated,Delta,High,24
Bakery,427,Birthday,270,Room Temperature,Occasional,Spring,Plated,Delta,Moderate,95
Dairy,280,Birthday,431,Room Temperature,Regular,Summer,Buffet,Giza,Moderate,72
Vegetables,75,Wedding,302,Refrigerated,Occasional,Winter,Plated,Delta,High,29
Bakery,93,Birthday,179,Room Temperature,Regular,All Seasons,Buffet,Cairo,Moderate,43
Meat,384,Festival,458,Refrigerated,Regular,Summer,Plated,Upper Egypt,High,34
Meat,495,Wedding,122,Refrigerated,Occasional,All Seasons,Buffet,Giza,High,78
Dairy,214,Birthday,531,Refrigerated,Regular,Autumn,Plated,Delta,Moderate,87
Fruits,476,Festival,354,Refrigerated,Regular,Summer,Buffet,Alexandria,High,95
Vegetables,78,Birthday,289,Room Temperature,Regular,All Seasons,Plated,Mansoura,Moderate,59
Bakery,459,Corporate,317,Frozen,Occasional,Winter,Plated,Delta,Low,88
Fruits,255,Birthday,54,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,Low,62
Bakery,259,Festival,152,Frozen,Occasional,Autumn,Finger Food,Mansoura,Low,88
Fruits,484,Corporate,367,Refrigerated,Occasional,Spring,Finger Food,Cairo,High,25
Fruits,165,Corporate,248,Room Temperature,Occasional,Spring,Buffet,Cairo,Low,68
Dairy,303,Birthday,223,Refrigerated,Occasional,Summer,Buffet,Giza,Moderate,16
Bakery,440,Birthday,96,Refrigerated,Occasional,Autumn,Plated,Delta,High,97
Meat,352,Birthday,578,Room Temperature,Regular,Winter,Finger Food,Cairo,Low,43
Vegetables,464,Wedding,367,Room Temperature,Occasional,Summer,Plated,Delta,Low,39
Dairy,270,Corporate,504,Frozen,Occasional,Winter,Buffet,Alexandria,Low,5
Dairy,261,Wedding,128,Frozen,Regular,Spring,Plated,Cairo,High,76
Fruits,95,Festival,294,Frozen,Regular,Autumn,Plated,Alexandria,Low,39
Fruits,246,Birthday,311,Refrigerated,Regular,Autumn,Finger Food,Delta,Low,49
Fruits,328,Corporate,147,Room Temperature,Occasional,Summer,Finger Food,Upper Egypt,High,55
Fruits,177,Corporate,457,Refrigerated,Occasional,Spring,Buffet,Cairo,Moderate,6
Bakery,175,Corporate,368,Room Temperature,Occasional,All Seasons,Plated,Alexandria,Low,36
Bakery,453,Birthday,232,Refrigerated,Regular,Winter,Plated,Mansoura,Moderate,25
Meat,172,Wedding,458,Frozen,Occasional,All Seasons,Plated,Mansoura,High,74
Meat,127,Festival,379,Refrigerated,Occasional,All Seasons,Finger Food,Alexandria,High,60
Bakery,155,Birthday,292,Room Temperature,Occasional,Winter,Buffet,Cairo,Low,82
Dairy,203,Wedding,71,Frozen,Regular,Spring,Finger Food,Cairo,High,97
Bakery,335,Festival,93,Frozen,Regular,All Seasons,Plated,Upper Egypt,Low,81
Bakery,97,Wedding,277,Refrigerated,Regular,Winter,Plated,Giza,Moderate,53
Meat,99,Wedding,600,Room Temperature,Occasional,Autumn,Buffet,Alexandria,Low,56
Vegetables,145,Corporate,164,Frozen,Occasional,All Seasons,Finger Food,Mansoura,High,91
Vegetables,125,Corporate,371,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,Moderate,51
Fruits,201,Festival,108,Frozen,Regular,Winter,Buffet,Mansoura,Low,42
Dairy,431,Corporate,397,Frozen,Regular,Autumn,Finger Food,Mansoura,Moderate,54
Dairy,117,Festival,234,Refrigerated,Occasional,Autumn,Finger Food,Cairo,Moderate,34
Meat,120,Festival,125,Frozen,Occasional,All Seasons,Buffet,Alexandria,Moderate,76
Dairy,53,Birthday,447,Frozen,Occasional,All Seasons,Finger Food,Cairo,Moderate,35
Meat,252,Festival,294,Room Temperature,Regular,Summer,Buffet,Giza,High,72
Meat,381,Festival,322,Refrigerated,Regular,All Seasons,Buffet,Delta,Low,80
Meat,134,Corporate,292,Frozen,Regular,Winter,Finger Food,Giza,Low,82
Fruits,223,Birthday,254,Room Temperature,Occasional,Autumn,Finger Food,Upper Egypt,High,51
Vegetables,489,Corporate,241,Room Temperature,Regular,All Seasons,Plated,Upper Egypt,High,60
Meat,118,Festival,407,Room Temperature,Occasional,Summer,Finger Food,Alexandria,High,80
Vegetables,72,Wedding,342,Frozen,Occasional,Summer,Finger Food,Giza,High,16
Meat,335,Corporate,173,Frozen,Occasional,Summer,Plated,Alexandria,High,32
Fruits,479,Wedding,388,Room Temperature,Occasional,Winter,Buffet,Delta,High,52
Vegetables,113,Festival,556,Refrigerated,Occasional,Spring,Finger Food,Cairo,Low,57
Meat,465,Festival,192,Room Temperature,Occasional,All Seasons,Finger Food,Cairo,Moderate,62
Vegetables,437,Festival,465,Refrigerated,Regular,Winter,Finger Food,Cairo,Moderate,69
Fruits,63,Corporate,433,Refrigerated,Regular,All Seasons,Finger Food,Giza,High,97
Meat,266,Festival,146,Room Temperature,Occasional,All Seasons,Finger Food,Delta,Moderate,78
Meat,241,Birthday,233,Room Temperature,Occasional,All Seasons,Buffet,Giza,High,46
Fruits,276,Wedding,107,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,32
Meat,398,Wedding,528,Frozen,Regular,Summer,Plated,Mansoura,Low,78
Meat,438,Festival,495,Frozen,Occasional,Spring,Plated,Giza,Moderate,47
Dairy,113,Birthday,249,Room Temperature,Occasional,Summer,Plated,Upper Egypt,High,63
Dairy,330,Corporate,433,Frozen,Occasional,All Seasons,Buffet,Giza,High,93
Dairy,483,Festival,140,Frozen,Occasional,Winter,Buffet,Upper Egypt,Low,77
Vegetables,133,Corporate,418,Room Temperature,Occasional,Winter,Buffet,Giza,Low,93
Bakery,407,Festival,267,Frozen,Regular,Winter,Plated,Mansoura,Moderate,38
Meat,145,Birthday,379,Refrigerated,Regular,Spring,Finger Food,Mansoura,High,80
Vegetables,182,Birthday,499,Room Temperature,Regular,Autumn,Plated,Giza,Low,97
Bakery,494,Wedding,194,Refrigerated,Regular,Winter,Plated,Giza,Low,78
Meat,178,Corporate,116,Room Temperature,Regular,Winter,Buffet,Delta,Moderate,42
Vegetables,158,Wedding,556,Frozen,Regular,Autumn,Plated,Delta,Low,82
Meat,459,Festival,389,Room Temperature,Regular,Summer,Finger Food,Upper Egypt,Moderate,21
Dairy,79,Festival,381,Room Temperature,Regular,Winter,Plated,Giza,Low,8
Meat,416,Festival,341,Refrigerated,Regular,Winter,Buffet,Mansoura,High,97
Vegetables,115,Festival,510,Room Temperature,Occasional,Winter,Buffet,Cairo,Moderate,97
Bakery,408,Corporate,457,Room Temperature,Occasional,Spring,Buffet,Mansoura,Low,31
Bakery,235,Corporate,293,Room Temperature,Regular,Summer,Plated,Alexandria,Low,84
Bakery,457,Wedding,188,Frozen,Occasional,All Seasons,Plated,Cairo,High,65
Fruits,422,Corporate,185,Room Temperature,Occasional,All Seasons,Plated,Upper Egypt,Moderate,65
Fruits,309,Birthday,488,Room Temperature,Occasional,Winter,Finger Food,Delta,Low,60
Vegetables,57,Corporate,300,Frozen,Occasional,Winter,Plated,Upper Egypt,Moderate,86
Dairy,457,Wedding,471,Frozen,Regular,Summer,Plated,Mansoura,Moderate,45
Bakery,298,Birthday,156,Frozen,Regular,Autumn,Plated,Delta,High,67
Bakery,479,Wedding,129,Room Temperature,Occasional,All Seasons,Plated,Upper Egypt,High,45
Fruits,57,Wedding,262,Refrigerated,Occasional,Spring,Finger Food,Giza,Low,21
Vegetables,352,Wedding,440,Refrigerated,Regular,All Seasons,Buffet,Upper Egypt,High,79
Bakery,462,Corporate,156,Room Temperature,Occasional,Autumn,Finger Food,Giza,Moderate,7
Meat,408,Corporate,236,Frozen,Occasional,Spring,Plated,Upper Egypt,Low,22
Vegetables,468,Wedding,559,Room Temperature,Regular,Winter,Finger Food,Mansoura,High,64
